seq,sym,sym_name,bid_q9,ask_q9,new_mid_q9,prev_mid_q9,delta_mid,delta_index,index_value,velocity,deviation,mean_window,window_filled,severity,alert
0,2,TSLA,122778,123187,122982,0,122982,10523,10523,10523,0,10523,0,0,0
1,1,AAPL,90163,91085,90624,0,90624,27739,38262,27739,13870,24392,0,0,0
2,2,TSLA,122829,123187,123008,122982,26,2,38264,2,9248,29016,0,0,0
3,2,TSLA,122778,123187,122982,123008,-26,-3,38261,-3,6934,31327,0,0,0
4,1,AAPL,90470,91085,90777,90624,153,46,38307,46,5584,32723,0,0,0
5,1,AAPL,90470,91034,90752,90777,-25,-8,38299,-8,4647,33652,0,0,0
6,2,TSLA,122829,123187,123008,122982,26,2,38301,2,3985,34316,0,0,0
7,2,TSLA,122778,123187,122982,123008,-26,-3,38298,-3,3484,34814,0,0,0
8,2,TSLA,122880,123341,123110,122982,128,10,38308,10,3106,35202,0,0,0
9,2,TSLA,122880,123290,123085,123110,-25,-3,38305,-3,2793,35512,0,0,0
10,2,TSLA,122880,123341,123110,123085,25,2,38307,2,2541,35766,0,0,0
11,2,TSLA,122675,123290,122982,123110,-128,-11,38296,-11,2319,35977,0,0,0
12,2,TSLA,122829,123290,123059,122982,77,6,38302,6,2146,36156,0,0,0
13,2,TSLA,122829,123238,123033,123059,-26,-3,38299,-3,1990,36309,0,0,0
14,2,TSLA,122829,123290,123059,123033,26,2,38301,2,1859,36442,0,0,0
15,1,AAPL,90470,91341,90905,90752,153,46,38347,46,1786,36561,1,0,0
16,1,AAPL,90470,91136,90803,90905,-102,-32,38315,-32,17,38298,1,0,0
17,2,TSLA,122880,123290,123085,123059,26,2,38317,2,16,38301,1,0,0
18,2,TSLA,122829,123290,123059,123085,-26,-3,38314,-3,10,38304,1,0,0
19,2,TSLA,122829,123238,123033,123059,-26,-3,38311,-3,4,38307,1,0,0
20,1,AAPL,90470,91085,90777,90803,-26,-8,38303,-8,-4,38307,1,0,0
21,2,TSLA,122829,123290,123059,123033,26,2,38305,2,-3,38308,1,0,0
22,1,AAPL,90214,91085,90649,90777,-128,-40,38265,-40,-40,38305,1,0,0
23,1,AAPL,90214,91341,90777,90649,128,39,38304,39,-2,38306,1,0,0
24,1,AAPL,90368,91341,90854,90777,77,23,38327,23,20,38307,1,0,0
25,1,AAPL,90368,91136,90752,90854,-102,-32,38295,-32,-11,38306,1,0,0
26,1,AAPL,90368,91341,90854,90752,102,31,38326,31,19,38307,1,0,0
27,2,TSLA,122829,123238,123033,123059,-26,-3,38323,-3,14,38309,1,0,0
28,1,AAPL,90368,91290,90829,90854,-25,-8,38315,-8,5,38310,1,0,0
29,1,AAPL,90368,90931,90649,90829,-180,-56,38259,-56,-48,38307,1,0,0
30,1,AAPL,90368,91290,90829,90649,180,55,38314,55,6,38308,1,0,0
31,1,AAPL,90061,91290,90675,90829,-154,-48,38266,-48,-37,38303,1,0,0
32,1,AAPL,90061,90982,90521,90675,-154,-48,38218,-48,-79,38297,1,0,0
33,2,TSLA,122880,123238,123059,123033,26,2,38220,2,-71,38291,1,0,0
34,1,AAPL,90214,90982,90598,90521,77,23,38243,23,-44,38287,1,0,0
35,1,AAPL,90266,90982,90624,90598,26,7,38250,7,-33,38283,1,0,0
36,2,TSLA,122829,123238,123033,123059,-26,-3,38247,-3,-32,38279,1,0,0
37,1,AAPL,90010,90982,90496,90624,-128,-40,38207,-40,-66,38273,1,0,0
38,1,AAPL,90214,90982,90598,90496,102,31,38238,31,-34,38272,1,0,0
39,1,AAPL,90214,90931,90572,90598,-26,-8,38230,-8,-37,38267,1,0,0
40,1,AAPL,90266,90931,90598,90572,26,7,38237,7,-24,38261,1,0,0
41,2,TSLA,122880,123238,123059,123033,26,2,38239,2,-19,38258,1,0,0
42,2,TSLA,122829,123238,123033,123059,-26,-3,38236,-3,-16,38252,1,0,0
43,2,TSLA,122829,123290,123059,123033,26,2,38238,2,-9,38247,1,0,0
44,2,TSLA,122880,123290,123085,123059,26,2,38240,2,-2,38242,1,0,0
45,2,TSLA,122829,123290,123059,123085,-26,-3,38237,-3,-4,38241,1,0,0
46,2,TSLA,122829,123238,123033,123059,-26,-3,38234,-3,-2,38236,1,0,0
47,1,AAPL,90010,90931,90470,90598,-128,-40,38194,-40,-37,38231,1,0,0
48,1,AAPL,90214,90931,90572,90470,102,31,38225,31,-7,38232,1,0,0
49,2,TSLA,122829,123290,123059,123033,26,2,38227,2,-5,38232,1,0,0
50,2,TSLA,122829,123238,123033,123059,-26,-3,38224,-3,-7,38231,1,0,0
51,2,TSLA,122880,123238,123059,123033,26,2,38226,2,-3,38229,1,0,0
52,3,GOOGL,65802,65818,65810,0,65810,5559,43785,5559,5209,38576,1,2,1
53,2,TSLA,123013,123238,123125,123059,66,5,43790,5,4865,38925,1,0,0
54,7,AMD,55875,56023,55949,0,55949,2182,45972,2182,6564,39408,1,2,1
55,2,TSLA,123013,123080,123046,123125,-79,-7,45965,-7,6074,39891,1,1,0
56,5,NVDA,246118,246528,246323,0,246323,29392,75357,29392,33146,42211,1,2,1
57,1,AAPL,90614,90931,90772,90572,200,61,75418,61,30883,44535,1,1,0
58,4,NFLX,208906,209935,209420,0,209420,10506,85924,10506,38408,47516,1,2,1
59,6,MRVL,31165,31191,31178,0,31178,521,86445,521,35917,50528,1,1,0
60,4,NFLX,209152,209935,209543,209420,123,6,86451,6,32909,53542,1,1,0
61,4,NFLX,209152,209690,209421,209543,-122,-7,86444,-7,29889,56555,1,1,0
62,2,TSLA,123013,123182,123097,123046,51,4,86448,4,26880,59568,1,1,0
63,5,NVDA,246374,246528,246451,246323,128,15,86463,15,23878,62585,1,1,0
64,8,QCOM,57006,57129,57067,0,57067,1591,88054,1591,22355,65699,1,2,1
65,8,QCOM,57006,57119,57062,57067,-5,-1,88053,-1,19240,68813,1,1,0
66,5,NVDA,246118,246528,246323,246451,-128,-16,88037,-16,16110,71927,1,1,0
67,6,MRVL,31130,31191,31160,31178,-18,-1,88036,-1,12996,75040,1,1,0
68,1,AAPL,90614,90624,90619,90772,-153,-47,87989,-47,10187,77802,1,1,0
69,1,AAPL,90614,90931,90772,90619,153,46,88035,46,7467,80568,1,1,0
70,5,NVDA,246374,246528,246451,246323,128,15,88050,15,4852,83198,1,0,0
71,6,MRVL,31130,31227,31178,31160,18,0,88050,0,2222,85828,1,0,0
72,5,NVDA,246118,246528,246323,246451,-128,-16,88034,-16,1414,86620,1,0,0
73,2,TSLA,123013,123213,123113,123097,16,1,88035,1,626,87409,1,0,0
74,8,QCOM,56955,57119,57037,57062,-25,-1,88034,-1,493,87541,1,0,0
75,3,GOOGL,65777,65818,65797,65810,-13,-2,88032,-2,392,87640,1,0,0
76,3,GOOGL,65797,65818,65807,65797,10,0,88032,0,293,87739,1,0,0
77,9,MSFT,166707,166769,166738,0,166738,43740,131772,43740,41200,90572,1,2,1
78,2,TSLA,123013,123238,123125,123113,12,1,131773,1,38369,93404,1,1,0
79,5,NVDA,246118,246784,246451,246323,128,15,131788,15,35551,96237,1,1,0
80,5,NVDA,246118,246856,246487,246451,36,4,131792,4,32821,98971,1,1,0
81,5,NVDA,246118,246502,246310,246487,-177,-22,131770,-22,30067,101703,1,1,0
82,5,NVDA,246118,246856,246487,246310,177,21,131791,21,27353,104438,1,1,0
83,5,NVDA,246374,246856,246615,246487,128,15,131806,15,24633,107173,1,1,0
84,5,NVDA,246118,246856,246487,246615,-128,-16,131790,-16,21879,109911,1,1,0
